*Template - reference and use as needed,,,FY2006 Energy Usages,,,
Building Code,Address,Property Type,E (kWh),G(therms),O(gallon),Building Gross Footage
732,86 BAY STATE ROAD,Residential,7477.25,5113.00,0.00,6783.68
733,94 BAY STATE ROAD,Residential,36078,0.00,3251.00,6833.35
734,110 BAY STATE ROAD,Residential,17976,1096.00,3161.00,5133.96
736,171 BAY STATE ROAD,Residential,35873,0.00,3445.30,7184.56
738,131 BAY STATE ROAD,Residential,28231,0.00,0.00,9286.69
739,1 BUSWELL STREET,Residential,31753,6658.00,0.00,7608.81
740,2 BUSWELL STREET,Residential,50065,122.00,10041.70,5457.92
741,5 BUSWELL STREET,Residential,22967,0.00,3399.00,6320.32
742,6 BUSWELL STREET,Residential,130920,16441.00,0.00,25818.23
743,22 BUSWELL STREET,Residential,152931,19355.00,0.00,17662.74
744,34 BUSWELL STREET,Residential,86480,0.00,0.00,17446.85
745,35 BUSWELL STREET,Residential,21363,0.00,2683.10,5016.57
746,37 BUSWELL STREET,Residential,17758,6714.00,0.00,4812.38
747,39 BUSWELL STREET,Residential,20628,0.00,0.00,5039.72
748,50-52 BUSWELL STREET,Residential,56276,10183.00,0.00,15305.33
750,,Residential,43106,18947.00,0.00,
751,,Residential,400320,62191.00,0.00,
753,3 BUSWELL STREET,Residential,18055,902.00,1912.70,5947.71
763,17 BUSWELL STREET,Residential,71890,0.00,0.00,6034.41
770,29 BUSWELL STREET,Residential,15398,34.00,3305.80,4852.06
771,45 BUSWELL STREET,Residential,13709,0.00,2277.70,5384.29
772,47 BUSWELL STREET,Residential,19810,19.00,2561.40,5201.34
773,53-57 DEERFIELD STREET,Residential,33882,8169.00,0.00,9572.81
774,43 BUSWELL STREET,Residential,15306,3519.00,0.00,4830.13
775,,Residential,29080,17.00,4277.00,
776,78 BAY STATE ROAD,Residential,66006.33,0.00,0.00,5438.35
777,80 BAY STATE ROAD,Residential,65905,0.00,0.00,5274.25
779,7 BUSWELL STREET,Residential,26520,0.00,2684.70,6098.90
781,852 BEACON STREET,Residential,91666.25,0.00,0.00,7380.37
782,832 BEACON STREET,Residential,75307.08,0.00,0.00,5894.97
783,856-862 BEACON STREET,Residential,154703.67,37108.00,1209.20,39732.93
784,96 MOUNTFORT STREET,Residential,96880,16938.00,0.00,9081.95
785,806-820 BEACON STREET,Residential,44858,0.00,10943.30,19328.25
786,575 COMMONWEALTH AVENUE,Residential,1074780,25784.00,23080.80,139367.77
787,33 BUSWELL STREET,Residential,28509,4682.00,0.00,5040.60
788,844 BEACON STREET,Residential,79520,17678.00,0.00,20857.52
790,75 BAY STATE ROAD,Residential,76680,668.00,0.00,10245.35
792,,Residential,16629,0.00,720.80,
795,845 BEACON STREET,Residential,6993,0.00,4559.80,6555.44
796,848 BEACON STREET,Residential,19565,0.00,3647.00,7085.29
798,864 BEACON STREET,Residential,24908,5487.00,0.00,6553.50
799,55 BUSWELL STREET,Residential,53080,13527.00,0.00,15329.70
801,625 COMMONWEALTH AVENUE,Residential,42052,2652.00,0.00,7444.60
803,46 MOUNTFORT STREET,Residential,116560,0.00,11286.50,30467.37
804,1A BUSWELL STREET,Residential,34200,6533.00,0.00,7547.15
805,15 BUSWELL STREET,Residential,28840,0.00,4485.10,6137.82
806,205 BAY STATE ROAD,Residential,44022,3949.00,0.00,7079.91
808,870 BEACON STREET,Residential,46079,2678.00,3323.10,6431.19
810,824-826 BEACON STREET,Residential,34059,0.00,4267.50,9276.62
819,90 ST. MARY'S STREET,Residential,107710,830.00,13131.70,23107.17
822,834-836 BEACON STREET,Residential,36595,0.00,5656.20,9560.18
823,866 BEACON STREET,Residential,22425,878.00,2380.70,6650.07
824,76 BAY STATE ROAD,Residential,72800.5,0.00,0.00,6178.21
825,115 BAY STATE ROAD,Residential,38609,0.00,5766.90,9497.09
826,61 BAY STATE ROAD,Residential,27124,86.00,4192.60,9997.92
828,828 BEACON STREET,Residential,29982,0.00,4247.30,6044.33
829,830 BEACON STREET,Residential,20596,0.00,3348.10,5968.87
830,,Residential,12495,761.00,0.00,
831,850 BEACON STREET,Residential,37971,5160.00,0.00,7135.59
832,,Residential,20279.91,0.00,5805.50,
833,56 BAY STATE ROAD,Residential,58715.58,0.00,0.00,5569.94
834,74 BAY STATE ROAD,Residential,74148,0.00,0.00,6082.79
835,855 BEACON STREET,Residential,9192,0.00,2819.50,6754.43
837,867 BEACON STREET,Residential,8640,0.00,4953.70,7759.97
840,906 BEACON STREET,Residential,12836.75,0.00,6374.20,7353.14
842,455 PARK DRIVE,Residential,55528.58,3.00,11659.20,16305.46
843,25 ABERDEEN STREET,Residential,12368.58,6671.00,0.00,7113.74
845,27 ABERDEEN STREET,Residential,29920.67,9305.00,0.00,8248.13
847,,Residential,35793.09,22306.00,0.00,
848,853 BEACON STREET,Residential,10286.17,0.00,3928.20,6477.41
849,875 BEACON STREET,Residential,4897,647.00,0.00,6814.93
851,124 BAY STATE ROAD,Residential,2755,0.00,3510.50,5617.25
